family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
gan,,,0.8632987001454928,2.309720442329886,1.904796160305502,1.0,0.621697887842638,,532.7,,,,16.0,1500.0,32.0,64x128x64,16x8,0.0001,3.0
gan,,,0.18655683194885486,0.5892458036337638,2.408213637774002,1.0,0.9873584643060609,,127.5,,,,32.0,500.0,128.0,16x32x16,32x16,2e-05,2.0
gan,,,0.01719391903693157,0.17785638136936535,0.9261096750450928,1.0,0.8471427909937825,,362.5,,,,32.0,1500.0,128.0,32x32,128x64,5e-05,2.0
gan,,,0.15811725495958528,0.7129049296739909,1.7456887533564547,1.0,1.0599548626088169,,70.4,,,,64.0,500.0,32.0,16x32x16,64x64,0.0003,1.0
gan,,,0.49410380972474444,2.7408991299154857,2.1621013601896037,1.0,1.8748320466728483,,114.2,,,,64.0,800.0,256.0,32x32,16x8,0.0001,1.0
gan,,,0.6553284410110807,1.5121605041708497,1.2641946758297542,1.0,0.8482452783646736,,105.1,,,,16.0,300.0,128.0,128x128,64x32,0.0001,3.0
gan,,,0.49678739995767274,1.0376774803186084,1.4983246822955671,1.0,0.7112720847203875,,125.9,,,,4.0,500.0,128.0,32x64x32,32x16,0.0003,2.0
gan,,,0.37368468968844903,0.8929545172084259,1.4329297089734905,1.0,0.6783792535100112,,368.5,,,,16.0,1500.0,64.0,64x128x64,64x64,5e-05,2.0
gan,,,0.062328589129691525,0.3332065973345019,1.5095414181856848,1.0,0.6757435901694567,,504.8,,,,16.0,1500.0,32.0,128x128,64x64,0.0005,3.0
gan,,,0.2415662167292285,0.6786625852843525,1.4726174079363832,1.0,0.06396071940798242,,121.6,,,,4.0,800.0,256.0,64x128x64,128x64,0.001,1.0
gan,,,0.2107983143604144,0.7408799877921731,1.6662752656193427,1.0,1.3152763390447464,,413.0,,,,32.0,1200.0,64.0,16x32x16,32x16,2e-05,3.0
gan,,,0.2528294717847721,0.7849539834741043,1.7005805061170964,1.0,0.7266807197562806,,100.0,,,,16.0,300.0,32.0,64x128x64,32x16,2e-05,3.0
gan,,,0.576380632384683,2.054341870403359,2.6252083550871568,1.0,1.1215810622356037,,164.7,,,,4.0,1200.0,128.0,64x64,64x32,0.001,1.0
gan,,,0.4907446951312657,1.5292286510509836,1.5629710070474598,1.0,1.013265120435091,,40.8,,,,32.0,300.0,64.0,64x64,32x16,2e-05,1.0
gan,,,0.15405128041997063,0.5241609952007371,1.7653073536124713,1.0,0.8757968692648449,,110.9,,,,8.0,300.0,256.0,32x64x32,64x64,0.0005,3.0
gan,,,0.10742716167899946,0.46745369376213175,1.1750323017842816,1.0,0.9522221320552845,,165.9,,,,8.0,1200.0,32.0,16x32x16,128x64,5e-05,1.0
gan,,,0.7331570136420128,2.2304918706179864,2.056889527554282,1.0,0.750908802666752,,115.2,,,,16.0,800.0,128.0,16x32x16,16x8,0.0001,1.0
gan,,,0.5517916264933733,2.673988731163263,1.5759530942962803,1.0,1.2819324658393092,,120.2,,,,16.0,500.0,32.0,16x32x16,16x8,0.0001,2.0
gan,,,0.16325599479652209,0.49679128897710323,1.3685761004671777,1.0,0.6462844700406623,,178.5,,,,64.0,500.0,128.0,16x32x16,16x8,0.0005,3.0
gan,,,0.8007651534119974,2.3750889195496003,2.1802255681246745,1.0,0.6966242711928865,,179.7,,,,8.0,1200.0,256.0,64x128x64,32x16,0.0001,1.0
gan,,,0.17723044018104817,0.5641463787860486,1.1955515874762541,1.0,0.6449445088264906,,112.0,,,,32.0,800.0,256.0,32x32,16x8,0.0003,1.0
