family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
rnn,0.6,0.1,0.0001,128,,4.727009455362956,4.727009455362956,4.745059013366699,399.0,400.0,1.0,0.9961960488709241,133209.0,0.04447801623620397,552.5,,32.0,,,64x128,0.0
dense,0.6,0.01,5e-05,32,16x8,0.08279229203859965,0.08279229203859965,0.08563478291034698,399.0,400.0,1.0,0.9667635367758929,48377.0,0.0038587586312358287,150.4,,,,,,
cnn,0.1,1e-05,0.0003,16,,0.012057123705744743,0.01251203411569198,0.014480011848111948,26.666666666666668,67.66666666666667,1.0377954797484792,0.832670681415868,6705.0,7.784137921404766e-05,44.6,8,16.0,False,7.0,,
rnn,0.2,1e-05,3e-05,64,,0.01226286186526219,0.01226286186526219,0.015003303376336893,399.0,400.0,1.0,0.8173444062997054,5657.0,1.7129606165601144e-05,193.7,,32.0,,,16,0.0
dense,0.3,1e-05,0.0003,16,64x32,0.012555467585722605,0.012831450439989567,0.010937750339508057,120.0,161.0,1.0222791498100638,1.1827917850533145,194969.0,0.00043878606424092235,92.0,,,,,,
cnn,0.4,0.0,0.0001,64,,0.011508628105123838,0.011512864691515764,0.014242288656532764,88.33333333333333,129.33333333333334,1.0003681005568874,0.8080607526857196,8329.0,7.921225484409243e-06,58.8,16,64.0,True,7.0,,
rnn,0.4,0.0,0.0005,16,,0.011512036124865213,0.011516944815715155,0.014304555642108122,5.0,46.0,1.0004264343411866,0.8047958170182733,14121.0,3.254803361287264e-06,90.5,,8.0,,,32x16,0.0
dense,0.0,0.0,3e-05,16,64x32,0.011896579526364803,0.01225366381307443,0.013882520919044813,11.0,52.0,1.0300214034136397,0.857027723548411,194969.0,9.88705789888175e-05,39.1,,,,,,
cnn,0.1,0.1,0.0005,64,,0.011525926490624746,0.011525926490624746,0.014255654687682787,399.0,400.0,1.0,0.8085161244379312,9665.0,1.8524568664857267e-06,151.3,8x16,32.0,False,5.0,,
rnn,0.3,0.0,5e-05,16,,0.01150810687492291,0.011510796224077543,0.014286715847750505,44.0,85.0,1.0002337264043668,0.80551222559624,12505.0,5.481826804200055e-06,157.4,,32.0,,,32,0.2
dense,0.4,1e-05,3e-05,128,128,0.014835452350477377,0.01488238200545311,0.016409228245417278,76.0,117.0,1.003162996289344,0.9041070803134456,387353.0,0.00012593796556032764,55.0,,,,,,
cnn,0.1,0.1,0.0003,64,,0.02633730073769887,0.02633730073769887,0.029200249041120212,399.0,400.0,1.0,0.9016243718684732,24745.0,0.002160982349035112,160.7,64,8.0,False,3.0,,
rnn,0.5,0.0,0.001,64,,0.011507517968614897,0.011514457874000072,0.014267685202260813,11.333333333333334,52.333333333333336,1.000603103254092,0.8065457068381789,11113.0,2.2123791392587466e-06,59.7,,8.0,,,32,0.1
dense,0.5,0.01,0.0001,64,128,0.03622540210684141,0.03622540210684141,0.038815358032782875,399.0,400.0,1.0,0.9332726397105704,387353.0,0.0005305261182672212,159.4,,,,,,
